number,name,position,height,weight,date_of_birth,team
23,"Alford, Robert",CB,70,186,11/1/88,ATL
95,"Babineaux, Jonathan",DT,74,300,10/12/81,ATL
72,"Baker, Sam",T,77,301,5/30/85,ATL
59,"Bartu, Joplo",OLB,74,230,10/3/90,ATL
71,"Biermann, Kroy",OLB,75,255,9/12/85,ATL
63,"Blalock, Justin",G,76,326,12/20/83,ATL
5,"Bosher, Matt",P,72,208,10/18/87,ATL
3,"Bryant, Matt",K,69,203,5/29/75,ATL
51,"Chaney, Jamar",LB,72,242,10/11/86,ATL
86,"Coffman, Chase",TE,78,250,11/10/86,ATL
15,"Cone, Kevin",WR,74,216,3/20/88,ATL
4,"Davis, Dominique",QB,75,210,7/17/89,ATL
19,"Davis, Drew",WR,73,205,1/4/89,ATL
28,"DeCoud, Thomas",FS,74,192,3/19/85,ATL
52,"Dent, Akeem",MLB,73,239,9/27/87,ATL
42,"DiMarco, Patrick",FB,73,234,4/30/89,ATL
83,"Douglas, Harry",WR,72,183,9/16/84,ATL
34,"Ewing, Bradie",FB,71,243,12/26/89,ATL
24,"Franks, Dominique",DB,72,197,10/8/87,ATL
53,"Gaither, Omar",MLB,74,235,3/18/84,ATL
88,"Gonzalez, Tony",TE,77,247,2/27/76,ATL
93,"Goodman, Malliciah",DE,76,276,1/4/90,ATL
69,"Gunn, Harland",G,74,310,8/30/89,ATL
47,"Harris, Josh",LS,73,224,4/27/89,ATL
61,"Hawley, Joe",G,75,302,10/22/88,ATL
76,"Holmes, Lamar",T,78,333,7/8/89,ATL
36,"Ishmael, Kemal",DB,72,206,5/6/91,ATL
39,"Jackson, Steven",RB,74,240,7/22/83,ATL
94,"Jerry, Peria",DT,74,295,8/23/84,ATL
79,"Johnson, Mike",G,78,304,4/2/87,ATL
11,"Jones, Julio",WR,75,220,2/3/89,ATL
66,"Konz, Peter",C,77,317,12/20/89,ATL
90,"Maponga, Stansly",DE,74,265,3/5/91,ATL
96,"Massaquoi, Jonathan",DE,74,264,5/18/88,ATL
98,"Matthews, Cliff",DE,76,268,8/5/89,ATL
27,"McClain, Robert",CB,69,195,7/22/88,ATL
25,"Moore, William",SS,72,221,5/18/85,ATL
41,"Motta, Zeke",SS,74,215,5/14/90,ATL
54,"Nicholas, Stephen",OLB,75,236,5/1/83,ATL
86,"Nissley, Adam",TE,78,267,5/6/88,ATL
91,"Peters, Corey",DT,75,305,6/8/88,ATL
12,"Renfree, Sean",QB,77,225,4/28/90,ATL
75,"Reynolds, Garrett",G,79,310,7/1/87,ATL
92,"Robertson, Travian",NT,76,304,12/9/88,ATL
32,"Rodgers, Jacquizz",RB,66,196,2/6/90,ATL
2,"Ryan, Matt",QB,76,217,5/17/85,ATL
22,"Samuel, Asante",CB,70,185,1/6/81,ATL
29,"Schillinger, Shann",DB,72,200,5/22/86,ATL
73,"Schraeder, Ryan",T,79,307,5/17/87,ATL
35,"Smith, Antone",RB,69,192,9/17/85,ATL
44,"Snelling, Jason",FB,71,234,12/29/83,ATL
85,"Szczerba, Andrew",TE,78,256,7/16/88,ATL
80,"Toilolo, Levine",TE,80,265,7/30/91,ATL
65,"Trueblood, Jeremy",T,80,320,5/10/83,ATL
21,"Trufant, Desmond",CB,72,190,9/10/90,ATL
50,"Umenyiora, Osi",DE,75,255,11/16/81,ATL
30,"Vaughan, Josh",RB,72,225,12/3/86,ATL
56,"Weatherspoon, Sean",OLB,74,244,12/29/87,ATL
84,"White, Roddy",WR,72,211,11/2/81,ATL
55,"Worrilow, Paul",OLB,72,230,5/1/90,ATL
50,"Alonso, Kiko",MLB,75,238,8/14/90,BUF
53,"Bradham, Nigel",OLB,74,241,9/4/89,BUF
90,"Branch, Alan",DE,78,325,12/29/84,BUF
33,"Brooks, Ron",CB,70,190,10/16/88,BUF
74,"Brown, Colin",G,79,326,8/29/85,BUF
97,"Bryant, Corbin",DT,76,300,1/4/88,BUF
29,"Burton, Brandon",DB,72,185,7/31/89,BUF
31,"Byrd, Jairus",FS,70,203,10/7/86,BUF
4,"Carpenter, Dan",K,74,228,11/25/85,BUF
92,"Carrington, Alex",DE,77,301,6/19/87,BUF
80,"Caussin, Mike",TE,77,243,2/26/87,BUF
84,"Chandler, Scott",TE,79,260,7/23/85,BUF
20,"Choice, Tashard",RB,70,210,11/20/84,BUF
99,"Dareus, Marcell",DT,75,331,3/13/90,BUF
81,"Easley, Marcus",WR,74,217,11/2/87,BUF
18,"Elliott, Kevin",WR,75,205,12/21/88,BUF
24,"Gilmore, Stephon",CB,73,190,9/19/90,BUF
77,"Glenn, Cordy",T,78,345,9/18/89,BUF
88,"Goodwin, Marquise",WR,69,179,11/19/90,BUF
89,"Gragg, Chris",TE,75,244,6/30/90,BUF
11,"Graham, T.J.",WR,71,188,7/27/89,BUF
15,"Hogan, Chris",WR,73,220,10/24/88,BUF
5,"Hopkins, Dustin",K,74,193,10/1/90,BUF
55,"Hughes, Jerry",OLB,74,254,8/13/88,BUF
22,"Jackson, Fred",RB,73,216,2/20/81,BUF
13,"Johnson, Steve",WR,74,207,7/22/86,BUF
4,"Kolb, Kevin",QB,75,218,8/24/84,BUF
91,"Lawson, Manny",OLB,77,240,7/13/84,BUF
59,"Legursky, Doug",C,73,315,6/9/86,BUF
35,"Leonhard, Jim",FS,68,188,10/27/82,BUF
9,"Lewis, Thad",QB,74,200,11/19/87,BUF
3,"Manuel, E.J.",QB,76,237,3/19/90,BUF
73,"McClain, Antoine",G,77,336,12/6/89,BUF
21,"McKelvin, Leodis",CB,70,185,9/4/85,BUF
36,"Meeks, Jonathan",DB,72,209,11/8/89,BUF
52,"Moats, Arthur",OLB,74,250,3/14/88,BUF
8,"Moorman, Brian",P,72,174,2/5/76,BUF
79,"Pears, Erik",T,80,316,6/25/82,BUF
37,"Robey, Nickell",DB,67,165,1/17/92,BUF
26,"Rogers, Justin",DB,71,181,1/16/88,BUF
69,"Ross, Jay",DT,75,319,10/3/87,BUF
65,"Sanborn, Garrison",LS,73,240,7/31/85,BUF
25,"Searcy, Da'Norris",SS,71,216,11/16/88,BUF
16,"Smith, Brad",WR,74,213,12/12/83,BUF
44,"Smith, Brandon",DB,73,205,2/23/87,BUF
85,"Smith, Lee",TE,78,265,11/21/87,BUF
28,"Spiller, C.J.",RB,71,200,8/5/87,BUF
38,"Summers, Frank",FB,69,248,9/6/85,BUF
7,"Tuel, Jeff",QB,75,221,2/12/91,BUF
60,"Urbik, Kraig",G,77,324,9/23/85,BUF
66,"Welch, Thomas",T,79,310,6/19/87,BUF
93,"Westerman, Jamaal",LB,75,255,2/21/85,BUF
23,"Williams, Aaron",FS,72,199,4/23/90,BUF
95,"Williams, Kyle",DT,73,303,6/10/83,BUF
94,"Williams, Mario",DE,78,292,1/31/85,BUF
27,"Williams, Duke",FS,71,201,10/15/90,BUF
70,"Wood, Eric",C,76,310,3/18/86,BUF
10,"Woods, Robert",WR,72,190,4/10/92,BUF
50,"Anderson, James",OLB,74,235,9/26/83,CHI
19,"Anderson, Joe",WR,73,196,11/21/88,CHI
91,"Bass, David",DE,76,256,9/11/90,CHI
80,"Bennett, Earl",WR,72,206,3/23/87,CHI
83,"Bennett, Martellus",TE,78,265,1/10/87,CHI
60,"Boggs, Taylor",C,75,285,2/20/87,CHI
57,"Bostic, Jon",ILB,73,245,5/5/91,CHI
38,"Bowman, Zack",DB,73,196,11/18/84,CHI
55,"Briggs, Lance",OLB,73,244,11/12/80,CHI
62,"Britton, Eben",G,78,308,10/14/87,CHI
78,"Brown, James",T,76,306,11/30/88,CHI
29,"Bush, Michael",RB,73,245,6/16/84,CHI
74,"Bushrod, Jermon",T,77,320,8/19/84,CHI
97,"Cohen, Landon",DE,73,300,8/3/86,CHI
93,"Collins, Nate",DT,74,296,12/14/87,CHI
47,"Conte, Chris",FS,74,203,2/23/89,CHI
52,"Costanzo, Blake",OLB,73,235,4/14/84,CHI
6,"Cutler, Jay",QB,75,220,4/29/83,CHI
43,"Fiammetta, Tony",FB,72,250,8/22/86,CHI
32,"Ford, Michael",RB,70,216,5/27/90,CHI
22,"Forte, Matt",RB,74,218,12/10/85,CHI
31,"Frey, Isaiah",CB,72,190,4/6/90,CHI
63,"Garza, Roberto",C,74,310,3/26/79,CHI
9,"Gould, Robbie",K,72,185,12/30/81,CHI
59,"Greene, Khaseem",OLB,73,241,2/4/89,CHI
35,"Hardin, Brandon",FS,75,217,10/30/89,CHI
24,"Hayden, Kelvin",CB,72,195,7/23/83,CHI
23,"Hester, Devin",WR,71,190,11/4/82,CHI
17,"Jeffery, Alshon",WR,75,216,2/14/90,CHI
26,"Jennings, Tim",CB,68,185,12/24/83,CHI
75,"Long, Kyle",OG,78,313,12/5/88,CHI
87,"Maneri, Steve",TE,79,280,3/20/88,CHI
65,"Mannelly, Patrick",LS,77,265,4/18/75,CHI
15,"Marshall, Brandon",WR,76,230,3/23/84,CHI
99,"McClellin, Shea",DE,75,260,8/1/89,CHI
12,"McCown, Josh",QB,76,213,7/4/79,CHI
27,"McManis, Sherrick",DB,73,193,12/19/87,CHI
69,"Melton, Henry",DT,75,295,10/11/86,CHI
67,"Mills, Jordan",OT,77,316,12/24/90,CHI
96,"Minter, Zach",DT,73,297,11/6/90,CHI
92,"Paea, Stephen",DT,73,300,5/11/88,CHI
90,"Peppers, Julius",DE,79,287,1/18/80,CHI
8,"Podlesh, Adam",P,71,200,8/11/83,CHI
88,"Rosario, Dante",TE,75,242,10/25/84,CHI
79,"Scott, Jonathan",T,78,318,1/10/83,CHI
68,"Slauson, Matt",G,77,315,2/18/86,CHI
20,"Steltz, Craig",SS,73,210,5/7/86,CHI
33,"Tillman, Charles",CB,74,198,2/23/81,CHI
64,"Tupou, Christian",DT,74,300,5/7/89,CHI
37,"Walters, Anthony",FS,73,207,9/19/88,CHI
94,"Washington, Cornelius",DE,76,265,9/10/89,CHI
14,"Weems, Eric",WR,69,195,7/4/85,CHI
58,"Williams, D.J.",MLB,73,242,7/20/82,CHI
25,"Wilson, C.J.",CB,71,187,11/18/89,CHI
10,"Wilson, Marquess",WR,76,184,9/14/92,CHI
98,"Wootton, Corey",DE,78,270,6/22/87,CHI
21,"Wright, Major",SS,71,204,7/1/88,CHI
97,"Atkins, Geno",DT,73,303,3/28/88,CIN
25,"Bernard, Gio",RB,69,208,11/22/91,CIN
53,"Boley, Michael",LB,75,230,8/24/82,CIN
65,"Boling, Clint",G,77,311,5/9/89,CIN
55,"Burfict, Vontaze",OLB,73,255,9/24/90,CIN
33,"Burkhead, Rex",RB,70,218,7/2/90,CIN
80,"Charles, Orson",TE,75,245,1/27/91,CIN
73,"Collins, Anthony",T,77,315,11/2/85,CIN
64,"Cook, Kyle",C,75,310,7/25/83,CIN
32,"Crocker, Chris",DB,71,197,3/9/80,CIN
14,"Dalton, Andy",QB,74,220,10/29/87,CIN
51,"DiManche, Jayson",LB,73,240,9/22/90,CIN
96,"Dunlap, Carlos",DE,78,280,2/28/89,CIN
85,"Eifert, Tyler",TE,78,250,9/8/90,CIN
69,"Evans, DeQuin",DE,74,265,5/17/87,CIN
91,"Geathers, Robert",DE,75,280,8/11/83,CIN
21,"Ghee, Brandon",DB,72,200,6/6/87,CIN
95,"Gilberry, Wallace",DE,74,275,12/5/84,CIN
18,"Green, A.J.",WR,76,207,7/31/88,CIN
42,"Green-Ellis, BenJarvus",RB,71,220,7/2/85,CIN
84,"Gresham, Jermaine",TE,77,260,6/16/88,CIN
29,"Hall, Leon",CB,71,195,12/9/84,CIN
46,"Harris, Clark",LS,77,245,7/10/84,CIN
92,"Harrison, James",OLB,72,275,5/4/78,CIN
16,"Hawkins, Andrew",WR,67,180,3/10/86,CIN
72,"Hawkinson, Tanner",G,77,300,5/14/90,CIN
10,"Huber, Kevin",P,73,212,7/16/85,CIN
99,"Hunt, Margus",DE,80,280,7/14/87,CIN
43,"Iloka, George",SS,76,217,6/20/90,CIN
8,"Johnson, Josh",QB,75,205,5/15/86,CIN
93,"Johnson, Michael",DE,79,270,2/7/87,CIN
49,"Joiner, Brandon",LB,75,240,4/27/89,CIN
24,"Jones, Adam",CB,70,180,9/30/83,CIN
82,"Jones, Marvin",WR,74,195,3/12/90,CIN
27,"Kirkpatrick, Dre",CB,74,185,10/26/89,CIN
59,"Lamur, Emmanuel",LB,76,240,6/8/89,CIN
37,"Lewis-Harris, Chris",CB,70,180,2/11/89,CIN
58,"Maualuga, Rey",MLB,74,255,1/20/87,CIN
26,"Mays, Taylor",FS,75,220,2/7/88,CIN
20,"Nelson, Reggie",FS,71,210,9/21/83,CIN
23,"Newman, Terence",CB,70,192,9/4/78,CIN
2,"Nugent, Mike",K,70,190,3/2/82,CIN
30,"Peerman, Cedric",RB,70,211,10/10/86,CIN
94,"Peko, Domata",DT,75,322,11/27/84,CIN
67,"Pollak, Mike",G,75,300,2/16/85,CIN
56,"Porter, Sean",OLB,73,237,1/12/91,CIN
36,"Pressley, Chris",FB,71,260,8/8/86,CIN
57,"Rey, Vincent",LB,74,250,9/6/87,CIN
66,"Robinson, Trevor",C,77,300,5/16/90,CIN
5,"Robinson, Zac",QB,75,208,9/29/86,CIN
12,"Sanu, Mohamed",WR,74,210,8/22/89,CIN
11,"Sanzenbacher, Dane",WR,71,184,10/13/88,CIN
81,"Smith, Alex",TE,76,250,5/22/82,CIN
71,"Smith, Andre",T,76,335,1/25/87,CIN
75,"Still, Devon",DT,77,320,7/11/89,CIN
19,"Tate, Brandon",WR,73,195,10/5/87,CIN
98,"Thompson, Brandon",DT,74,325,10/19/89,CIN
88,"Whalen, Ryan",WR,73,200,7/26/89,CIN
77,"Whitworth, Andrew",T,79,335,12/12/81,CIN
40,"Williams, Shawn",SS,72,211,5/13/91,CIN
68,"Zeitler, Kevin",G,76,315,3/8/90,CIN
37,"Aubrey, Josh",DB,70,200,4/9/91,CLE
24,"Bademosi, Johnson",CB,72,200,7/23/90,CLE
82,"Barnidge, Gary",TE,77,250,9/22/85,CLE
80,"Benjamin, Travis",WR,70,175,12/29/89,CLE
15,"Bess, Davone",WR,70,195,9/13/85,CLE
8,"Bogotay, Brandon",K,75,207,5/8/89,CLE
95,"Bryant, Armonty",DE,76,265,5/20/90,CLE
92,"Bryant, Desmond",DE,78,310,12/15/85,CLE
79,"Butler, Rashad",T,76,310,2/10/83,CLE
84,"Cameron, Jordan",TE,77,245,8/8/88,CLE
17,"Campbell, Jason",QB,77,230,12/31/81,CLE
59,"Carder, Tank",OLB,74,235,1/18/89,CLE
75,"Cousins, Oniel",G,76,315,6/29/84,CLE
8,"Cundiff, Billy",K,73,212,3/30/80,CLE
65,"Gilkey, Garrett",OT,78,320,7/7/90,CLE
39,"Gipson, Tashaun",FS,71,205,8/7/90,CLE
12,"Gordon, Josh",WR,75,225,4/13/91,CLE
47,"Gray, MarQueis",TE,76,250,11/7/89,CLE
77,"Greco, John",G,76,315,3/24/85,CLE
54,"Groves, Quentin",OLB,75,265,7/5/84,CLE
23,"Haden, Joe",CB,71,190,4/14/89,CLE
96,"Hazel, Paul",LB,77,227,5/4/90,CLE
6,"Hoyer, Brian",QB,74,215,10/13/85,CLE
93,"Hughes, John",DT,74,320,4/27/88,CLE
52,"Jackson, D'Qwell",ILB,72,240,9/26/83,CLE
67,"Kitchen, Ishmaa'ily",NT,73,330,8/24/88,CLE
99,"Kruger, Paul",OLB,76,270,2/15/86,CLE
5,"Lanning, Spencer",P,71,200,5/21/88,CLE
66,"Lauvao, Shawn",G,75,315,10/26/87,CLE
28,"Lewis, Dion",RB,68,195,9/27/90,CLE
60,"Lewis, Patrick",C,73,311,1/30/91,CLE
18,"Little, Greg",WR,74,220,5/30/89,CLE
55,"Mack, Alex",C,76,311,11/19/85,CLE
58,"Magee, Brandon",OLB,71,255,10/22/90,CLE
56,"Martin, Eric",LB,74,250,7/21/91,CLE
29,"McFadden, Leon",CB,69,195,10/26/90,CLE
26,"McGahee, Willis",RB,72,235,10/21/81,CLE
83,"Milton, Keavon",TE,76,293,6/23/90,CLE
51,"Mingo, Barkevious",OLB,76,240,10/4/90,CLE
25,"Ogbonnaya, Chris",RB,72,225,5/5/86,CLE
21,"Owens, Chris",CB,69,180,12/1/86,CLE
62,"Pinkston, Jason",G,76,305,9/5/87,CLE
34,"Rainey, Bobby",RB,68,212,10/16/87,CLE
53,"Robertson, Craig",ILB,73,234,2/11/88,CLE
71,"Rubin, Ahtyba",DE,74,330,7/25/86,CLE
72,"Schwartz, Mitchell",T,77,320,6/8/89,CLE
97,"Sheard, Jabaal",OLB,74,255,5/10/89,CLE
22,"Skrine, Buster",CB,69,185,4/26/89,CLE
98,"Taylor, Phillip",NT,75,335,4/7/88,CLE
73,"Thomas, Joe",T,78,312,12/4/84,CLE
64,"Wallace, Martin",T,78,305,4/22/90,CLE
43,"Ward, T.J.",SS,70,200,12/12/86,CLE
3,"Weeden, Brandon",QB,75,220,10/14/83,CLE
35,"Whittaker, Fozzy",RB,70,202,2/2/89,CLE
90,"Winn, Billy",DE,76,295,4/15/89,CLE
57,"Yount, Christian",LS,73,256,7/8/88,CLE
59,"Brown, Arthur",ILB,72,235,6/17/90,BAL
23,"Brown, Chykie",DB,71,190,12/26/86,BAL
14,"Brown, Marlon",WR,76,205,4/22/91,BAL
49,"Bryant, D.J.",LB,75,248,3/3/89,BAL
56,"Bynes, Josh",ILB,73,240,8/24/89,BAL
99,"Canty, Chris",DE,79,317,11/10/82,BAL
87,"Clark, Dallas",TE,75,252,6/12/79,BAL
62,"Cody, Terrence",NT,76,340,6/28/88,BAL
46,"Cox, Morgan",LS,76,241,4/26/86,BAL
84,"Dickson, Ed",TE,76,255,7/25/87,BAL
17,"Doss, Tandon",WR,74,207,9/22/89,BAL
58,"Dumervil, Elvis",OLB,71,260,1/19/84,BAL
26,"Elam, Matt",FS,70,210,9/21/91,BAL
5,"Flacco, Joe",QB,78,245,1/16/85,BAL
66,"Gradkowski, Gino",C,75,300,11/5/88,BAL
24,"Graham, Corey",CB,72,196,7/25/85,BAL
95,"Hamilton, Adrian",LB,75,255,11/29/87,BAL
29,"Huff, Michael",FS,72,211,3/6/83,BAL
32,"Ihedigbo, James",SS,73,214,12/3/83,BAL
25,"Jackson, Asa",CB,70,182,12/2/89,BAL
77,"Jensen, Ryan",C,76,318,5/27/91,BAL
97,"Jones, Arthur",DE,75,315,6/3/86,BAL
12,"Jones, Jacoby",WR,74,215,7/11/84,BAL
40,"Juszczyk, Kyle",RB,73,245,4/23/91,BAL
4,"Koch, Sam",P,73,218,8/13/82,BAL
44,"Leach, Vonta",FB,72,260,11/6/81,BAL
41,"Levine, Anthony",DB,71,203,3/27/87,BAL
53,"McClain, Jameel",ILB,73,245,7/25/85,BAL
50,"McClellan, Albert",OLB,74,245,6/4/86,BAL
78,"McKinnie, Bryant",T,80,352,9/23/79,BAL
90,"McPhee, Pernell",LB,75,280,12/17/88,BAL
13,"Mellette, Aaron",WR,74,217,12/28/89,BAL
36,"Miles, Jeromy",SS,74,214,7/20/87,BAL
60,"Monroe, Eugene",T,77,306,4/18/87,BAL
92,"Ngata, Haloti",NT,76,340,1/21/84,BAL
74,"Oher, Michael",T,76,315,5/28/86,BAL
72,"Osemele, Kelechi",G,77,330,6/24/89,BAL
30,"Pierce, Bernard",RB,72,218,5/10/90,BAL
88,"Pitta, Dennis",TE,76,245,6/29/85,BAL
76,"Reid, Jah",T,79,340,7/21/88,BAL
27,"Rice, Ray",RB,68,212,1/22/87,BAL
68,"Shipley, A.Q.",C,73,309,5/22/86,BAL
94,"Simon, John",LB,73,257,10/14/90,BAL
22,"Smith, Jimmy",CB,74,200,7/26/88,BAL
51,"Smith, Daryl",ILB,74,248,3/14/82,BAL
82,"Smith, Torrey",WR,72,205,1/26/89,BAL
96,"Spears, Marcus",DE,76,315,3/8/83,BAL
80,"Stokley, Brandon",WR,72,194,6/23/76,BAL
55,"Suggs, Terrell",OLB,75,260,10/11/82,BAL
2,"Taylor, Tyrod",QB,73,215,8/3/89,BAL
83,"Thompson, Deonte",WR,72,203,2/14/89,BAL
9,"Tucker, Justin",K,72,180,11/21/89,BAL
93,"Tyson, DeAngelo",DE,74,315,4/12/89,BAL
91,"Upshaw, Courtney",OLB,74,272,12/13/89,BAL
71,"Wagner, Ricky",OT,78,310,10/21/89,BAL
21,"Webb, Lardarius",CB,70,182,10/12/85,BAL
98,"Williams, Brandon",DT,73,335,2/21/89,BAL
73,"Yanda, Marshal",G,75,305,9/15/84,BAL
62,"Arkin, David",G,77,310,10/7/87,DAL
19,"Austin, Miles",WR,74,216,6/30/84,DAL
5,"Bailey, Dan",K,72,191,1/26/88,DAL
79,"Bass, Ben",DE,77,294,10/12/89,DAL
11,"Beasley, Cole",WR,68,180,4/26/89,DAL
73,"Bernadeau, Mackenzy",G,76,333,1/3/86,DAL
58,"Bosworth, Kyle",LB,73,245,11/21/86,DAL
88,"Bryant, Dez",WR,74,222,11/4/88,DAL
39,"Carr, Brandon",CB,72,206,5/19/86,DAL
79,"Carter, David",DT,77,300,12/10/87,DAL
54,"Carter, Bruce",OLB,74,246,2/19/88,DAL
42,"Church, Barry",FS,74,218,2/11/88,DAL
24,"Claiborne, Morris",CB,71,190,2/7/90,DAL
63,"Cook, Ryan",C,78,331,5/8/83,DAL
67,"Costa, Phil",C,75,302,7/11/87,DAL
98,"Crawford, Tyrone",DE,76,284,11/22/89,DAL
25,"Dunbar, Lance",RB,68,188,1/25/90,DAL
52,"Durant, Justin",OLB,73,228,9/21/85,DAL
89,"Escobar, Gavin",TE,78,249,2/3/91,DAL
72,"Frederick, Travis",C,75,311,3/18/91,DAL
68,"Free, Doug",T,78,325,1/6/84,DAL
33,"Greenwood, Chris",CB,73,193,7/10/89,DAL
