team,name,number,position,height,weight,age,years,school
Titans,MyCole Pruitt,85,TE,74,245,26,2,Southern Illinois
Titans,Kamalei Correa,44,LB,75,241,24,3,Boise State
Titans,Kenny Vaccaro,24,SS,72,214,27,6,Texas
Titans,Aaron Stinnie,61,G,75,312,24,0,James Madison
Titans,Anthony Firkser,86,TE,74,246,23,1,Harvard
Titans,Sharif Finch,56,OLB,76,250,22,0,Temple
Titans,Matt Dickerson,92,DE,77,292,22,0,UCLA
Titans,Cameron Batson,17,WR,68,175,22,0,Texas Tech
Titans,Dane Cruikshank,29,DB,73,209,23,0,Arizona
Titans,Harold Landry,58,OLB,74,252,22,0,Boston College
Titans,Rashaan Evans,54,LB,74,232,22,0,Alabama
Titans,Kendrick Lewis,28,S,72,205,30,8,Mississippi
Titans,Will Compton,51,LB,73,235,29,5,Nebraska
Titans,Bennie Logan,96,DT,74,315,28,6,LSU
Titans,Blaine Gabbert,7,QB,76,235,28,8,Missouri
Titans,Kevin Pamphile,66,G,77,315,27,5,Purdue
Titans,Jack Conklin,78,OT,78,308,24,3,Michigan State
Titans,Jurrell Casey,99,DT,73,305,28,8,USC
Titans,Kevin Byard,31,FS,71,212,25,3,Middle Tennessee State
Titans,Jayon Brown,55,LB,71,226,23,2,UCLA
Titans,Beau Brinkley,48,LS,76,260,28,7,Missouri
Titans,Daren Bates,53,LB,71,225,27,6,Auburn
Titans,Malcolm Butler,21,CB,71,190,28,5,West Alabama
Titans,Wesley Woodyard,59,ILB,72,233,32,11,Kentucky
Titans,Dion Lewis,33,RB,68,195,27,7,Pittsburgh
Titans,Aaron Wallace,52,OLB,74,242,25,3,UCLA
Titans,Taywan Taylor,13,WR,71,203,23,2,Western Kentucky
Titans,Ryan Succop,4,K,74,218,32,10,South Carolina
Titans,Luke Stocker,88,TE,77,253,30,8,Tennessee
Titans,Quinton Spain,67,G,76,330,27,4,West Virginia
Titans,Jonnu Smith,81,TE,75,248,23,2,Florida International
Titans,Brynden Trawick,41,S,74,225,28,6,Troy
Titans,LeShaun Sims,36,CB,72,203,25,3,Southern Utah
Titans,Tajae Sharpe,19,WR,74,194,23,3,Massachusetts
Titans,Logan Ryan,26,CB,71,195,27,6,Rutgers
Titans,Brian Orakpo,98,OLB,76,257,32,10,Texas
Titans,Derrick Morgan,91,LB,76,261,29,9,Georgia Tech
Titans,Marcus Mariota,8,QB,76,222,24,4,Oregon
Titans,Tyler Marz,69,T,79,316,26,2,Wisconsin
Titans,Rishard Matthews,18,WR,72,217,28,7,Nevada
Titans,Corey Levin,62,G,76,307,24,2,Tennessee-Chattanooga
Titans,Taylor Lewan,77,T,79,309,27,5,Michigan
Titans,Josh Kline,64,G,75,300,28,6,Kent State
Titans,Dennis Kelly,71,T,80,321,28,7,Purdue
Titans,Brett Kern,6,P,74,214,32,11,Toledo
Titans,DaQuan Jones,90,DT,76,322,26,5,Penn State
Titans,Austin Johnson,94,DT,76,314,24,3,Penn State
Titans,Adoree' Jackson,25,CB,71,185,23,2,USC
Titans,Ben Jones,60,C,75,308,29,7,Georgia
Titans,Darius Jennings,15,WR,70,180,26,2,Virginia
Titans,David Fluellen,32,RB,71,224,26,2,Toledo
Titans,Corey Davis,84,WR,75,209,23,2,Western Michigan
Titans,Derrick Henry,22,RB,75,247,24,3,Alabama
Titans,Devin Ross,83,WR,69,192,23,0,Colorado
Titans,Austin Barnard,3,K/P,75,207,23,0,Samford
Titans,Michael Campanaro,10,WR,69,191,27,4,Wake Forest
Titans,Delanie Walker,82,TE,74,248,34,13,Central Missouri State
Titans,Tye Smith,23,CB,72,195,25,3,Towson
Titans,Nate Palmer,50,LB,74,248,28,6,Illinois State
Titans,Kalan Reed,24,CB,71,192,24,2,Southern Mississippi
Titans,Johnny Maxey,93,DL,77,283,24,1,Mars Hill
Titans,Johnathan Cyprien,37,S,72,223,28,6,Florida International
Broncos,Kevin Hogan,9,QB,75,218,25,3,Stanford
Broncos,Adam Jones,24,CB,70,185,34,12,West Virginia
Broncos,Alexander Johnson,45,LB,74,245,26,0,Tennessee
Broncos,Shamarko Thomas,38,S,69,205,27,6,Syracuse
Broncos,Tramaine Brock,22,DB,70,188,30,9,Belhaven College
Broncos,Bradley Chubb,55,OLB,76,269,22,0,North Carolina State
Broncos,Royce Freeman,28,RB,72,229,22,0,Oregon
Broncos,Phillip Lindsay,30,RB,68,190,24,0,Colorado
Broncos,Marquette King,1,P,72,195,29,7,Fort Valley State
Broncos,Isaac Yiadom,41,CB,73,190,22,0,Boston College
Broncos,Josey Jewell,47,ILB,73,234,23,0,Iowa
Broncos,Keishawn Bierria,40,ILB,72,230,23,0,Washington
Broncos,DaeSean Hamilton,17,WR,73,203,23,0,Penn State
Broncos,Sam Jones,70,G,77,305,22,0,Arizona State
Broncos,Jared Veldheer,66,T,80,321,31,9,Hillsdale College
Broncos,Courtland Sutton,14,WR,75,218,22,0,Southern Methodist
Broncos,Ron Leary,65,G,75,320,29,7,Memphis
Broncos,Todd Davis,51,ILB,73,230,26,5,Sacramento State
Broncos,Jake Butt,80,TE,78,250,23,1,Michigan
Broncos,Garett Bolles,72,T,77,297,26,2,Utah
Broncos,Shaquil Barrett,48,OLB,74,250,25,5,Colorado State
Broncos,Devontae Booker,23,RB,71,219,26,3,Utah
Broncos,Dymonte Thomas,35,S,74,199,24,1,Michigan
Broncos,Domata Peko Sr.,94,NT,75,325,33,13,Michigan State
Broncos,Tim Patrick,81,WR,77,210,24,1,Utah
Broncos,Case Keenum,4,QB,73,215,30,6,Houston
Broncos,Emmanuel Sanders,10,WR,71,180,31,9,Southern Methodist
Broncos,Derek Wolfe,95,DE,77,285,28,7,Cincinnati
Broncos,DeMarcus Walker,57,DE,76,280,23,2,Florida State
Broncos,Von Miller,58,OLB,75,250,29,8,Texas A&M
Broncos,Andy Janovich,32,FB,73,238,25,3,Nebraska
Broncos,Will Parks,34,S,73,194,24,3,Arizona
Broncos,Shane Ray,56,OLB,75,245,25,4,Missouri
Broncos,Joe Jones,43,ILB,72,240,24,2,Northwestern
Broncos,Chad Kelly,6,QB,74,224,24,1,Mississippi
Broncos,Brandon McManus,8,K,75,201,27,5,Temple
Broncos,Elijah Wilkinson,68,T,76,329,23,2,Massachusetts
Broncos,Demaryius Thomas,88,WR,75,229,30,9,Georgia Tech
Broncos,Darian Stewart,26,S,71,214,30,9,South Carolina
Broncos,Justin Simmons,31,S,74,202,24,3,Boston College
Broncos,Billy Turner,77,G/T,77,310,26,5,North Dakota State
Broncos,Matt Paradis,61,C,75,300,28,4,Boise State
Broncos,Connor McGovern,60,G,76,306,25,3,Missouri
Broncos,Brandon Marshall,54,ILB,73,250,29,7,Nevada
Broncos,Bradley Roby,29,CB,71,194,26,5,Ohio State
Broncos,Max Garcia,76,G,76,309,26,4,Florida
Broncos,Casey Kreiter,42,LS,73,250,28,3,Iowa
Broncos,Jeff Heuerman,82,TE,77,255,25,4,Ohio State
Broncos,Matt LaCosse,83,TE,78,255,26,3,Illinois
Broncos,Zach Kerr,92,DE,74,334,28,5,Delaware
Broncos,Adam Gotsis,99,DE,76,287,25,3,Georgia Tech
Broncos,Chris Harris Jr.,25,CB,70,199,29,8,Kansas
Broncos,Shelby Harris,96,NT,74,290,27,4,Illinois State
Broncos,Troy Fumagalli,84,TE,77,247,23,0,Wisconsin
Broncos,Su'a Cravens,21,S,73,224,23,2,USC
Broncos,Jamal Carter,20,S,73,215,24,2,Miami (Fla.)
Broncos,Jerrol Garcia-Williams,52,ILB,74,235,24,2,Hawaii
Broncos,Deiontrez Mount,53,LB,77,253,25,3,Louisville
Broncos,Jordan Taylor,87,WR,77,210,26,3,Rice
Vikings,Bryan Witzmann,78,OG,79,320,28,4,South Dakota State
Vikings,Matt Wile,6,P,74,215,26,1,Michigan
Vikings,Brett Jones,61,C,74,312,27,4,Regina (Canada)
Vikings,George Iloka,23,S,76,225,28,7,Boise State
Vikings,Devante Downs,57,LB,74,252,22,0,California
Vikings,Holton Hill,24,CB,75,196,21,0,Texas
Vikings,Tyler Conklin,83,TE,76,254,23,0,Central Michigan
Vikings,Daniel Carlson,7,K,76,223,23,0,Auburn
Vikings,Mike Boone,44,RB,70,205,23,0,Cincinnati
Vikings,Jalyn Holmes,92,DT,77,283,22,0,Ohio State
Vikings,Mike Hughes,21,CB,71,191,21,0,Central Florida
Vikings,Brian O'Neill,75,OT,78,297,23,0,Pittsburgh
Vikings,David Parry,95,NT,74,317,26,4,Stanford
Vikings,Roc Thomas,32,RB,71,198,23,0,Jacksonville State
Vikings,Tom Compton,79,OT,77,313,29,6,South Dakota
Vikings,Jayron Kearse,27,SAF,76,215,24,3,Clemson
Vikings,Sheldon Richardson,93,DT,75,295,27,6,Missouri
Vikings,Trevor Siemian,3,QB,75,220,26,4,Northwestern
Vikings,Marcus Sherels,35,DB,70,175,30,8,Minnesota
Vikings,Brandon Zylstra,15,WR,75,220,25,0,Concordia-Moorhead
Vikings,Everson Griffen,97,DE,75,273,30,9,USC
Vikings,Laquon Treadwell,11,WR,74,215,23,3,Mississippi
Vikings,Xavier Rhodes,29,CB,73,218,28,6,Florida State
Vikings,Dalvin Cook,33,RB,70,210,23,2,Florida State
Vikings,Kyle Rudolph,82,TE,78,265,28,8,Notre Dame
Vikings,David Morgan,89,TE,76,265,25,3,Texas-San Antonio
Vikings,Riley Reiff,71,OT,78,305,29,7,Iowa
Vikings,Anthony Harris,41,SS,73,192,27,4,Virginia
Vikings,Anthony Barr,55,LB,77,255,26,5,UCLA
Vikings,Trae Waynes,26,CB,72,190,26,4,Michigan State
Vikings,Stefon Diggs,14,WR,72,191,24,4,Maryland
Vikings,Eric Wilson,50,LB,73,230,23,2,Cincinnati
Vikings,Stephen Weatherly,91,DE,77,265,24,3,Vanderbilt
Vikings,Adam Thielen,19,WR,74,200,28,5,Minnesota State
Vikings,Latavius Murray,25,RB,75,230,28,6,Central Florida
Vikings,Linval Joseph,98,DT,76,329,29,9,East Carolina
Vikings,Andrew Sendejo,34,SS,73,210,31,8,Rice
Vikings,Harrison Smith,22,S,74,214,29,7,Notre Dame
Vikings,Pat Elflein,65,C,74,303,24,2,Ohio State
Vikings,Kyle Sloter,1,QB,76,218,24,2,Northern Colorado
Vikings,Stacy Coley,13,WR,72,195,24,2,Miami (Fla.)
Vikings,Mackensie Alexander,20,CB,70,192,24,3,Clemson
Vikings,C.J. Ham,30,RB,71,235,25,2,Augustana (S.D.)
Vikings,Rashod Hill,69,OT,78,313,26,3,Southern Mississippi
Vikings,Eric Kendricks,54,MLB,72,232,26,4,UCLA
Vikings,Mike Remmers,74,OT,77,310,29,6,Oregon State
Vikings,Danny Isidora,63,OG,75,306,24,2,Miami (Fla.)
Vikings,Kevin McDermott,47,LS,77,240,28,6,UCLA
Vikings,Kirk Cousins,8,QB,75,202,30,7,Michigan State
Vikings,Danielle Hunter,99,DE,77,252,23,4,LSU
Vikings,Tashawn Bower,90,DE,76,250,23,2,LSU
Vikings,Ben Gedeon,42,OLB,74,244,23,2,Michigan
Vikings,Jaleel Johnson,94,DT,75,316,24,2,Iowa
Vikings,Craig James,36,CB,70,187,22,0,Southern Illinois
Vikings,Hercules Mata'afa,51,DE,74,254,23,0,Washington State
Vikings,Ade Aruna,61,DE,77,263,24,0,Tulane
Vikings,Tray Matthews,38,DB,72,196,23,0,Auburn
Vikings,Johnny Stanton,48,FB,74,250,24,0,Nevada-Las Vegas
Vikings,Josiah Price,87,TE,76,249,25,1,Michigan State
Vikings,Cedrick Lang,68,OT,79,269,26,1,Texas-El Paso
Vikings,Mack Brown,31,RB,71,213,26,3,Florida
Vikings,Horace Richardson,24,CB,71,199,24,1,Southern Methodist
Vikings,Nick Easton,62,OG,75,303,26,4,Harvard
Vikings,Josh Andrews,64,G,74,311,27,3,Oregon State
Vikings,Aviante Collins,76,OT,76,292,25,2,Texas Christian
Vikings,Terence Newman,23,DB,70,197,40,16,Kansas State
Vikings,Kentrell Brothers,40,OLB,73,242,25,3,Missouri
Bears,Khalil Mack,52,LB,75,252,27,5,Buffalo
Bears,Javon Wims,83,WR,76,215,24,0,Georgia
Bears,Nick Williams,97,DT,76,297,28,5,Samford
Bears,Kevin Toliver II,22,DB,74,192,22,0,LSU
Bears,Roquan Smith,58,LB,73,225,21,0,Georgia
Bears,Bilal Nichols,98,DT,76,290,22,0,Delaware
Bears,Anthony Miller,17,WR,71,190,23,0,Memphis
Bears,Sherrick McManis,27,DB,73,193,30,9,Northwestern
Bears,Aaron Lynch,99,LB,78,270,25,5,South Florida
Bears,Joel Iyiegbuniwe,45,LB,73,230,22,0,Western Kentucky
Bears,Kylie Fitts,49,LB,76,265,23,0,Utah
Bears,James Daniels,68,C,76,295,21,0,Iowa
Bears,Benny Cunningham,30,RB,70,218,28,6,Middle Tennessee State
Bears,Marcus Cooper Sr.,31,DB,74,197,28,6,Rutgers
Bears,Daniel Brown,85,TE,77,247,26,4,James Madison
Bears,Patrick Scales,48,LS,76,239,30,4,Utah State
Bears,Pat O'Donnell,16,P,76,217,27,5,Miami (Fla.)
Bears,Kyle Long,75,OG,78,316,29,6,Oregon
Bears,Charles Leno Jr.,72,OT,75,306,26,5,Boise State
Bears,Bobby Massie,70,OT,78,317,29,7,Mississippi
Bears,Danny Trevathan,59,ILB,73,239,28,7,Kentucky
Bears,Akiem Hicks,96,DT,77,332,28,7,Regina (Canada)
Bears,Cody Whitehair,65,C,76,310,26,3,Kansas State
Bears,Leonard Floyd,94,OLB,76,251,26,3,Georgia
Bears,Mitchell Trubisky,10,QB,75,222,24,2,North Carolina
Bears,Allen Robinson II,12,WR,75,211,25,5,Penn State
Bears,Dion Sims,88,TE,76,268,27,6,Michigan State
Bears,Eddie Goldman,91,NT,76,320,24,4,Florida State
Bears,Roy Robertson-Harris,95,DE,79,294,25,2,Texas-El Paso
Bears,Deon Bush,26,SS,72,205,25,3,Miami (Fla.)
Bears,Eric Kush,64,OG,76,317,29,5,California (PA)
Bears,Trey Burton,80,TE,75,235,26,5,Florida
Bears,Jonathan Bullard,90,DE,75,296,24,3,Florida
Bears,Kevin White,11,WR,75,216,26,4,West Virginia
Bears,Bradley Sowell,79,OT,79,312,29,7,Mississippi
Bears,Cody Parkey,1,K,72,190,26,5,Auburn
Bears,Nick Kwiatkoski,44,ILB,74,242,25,3,West Virginia
Bears,Eddie Jackson,39,FS,72,202,25,2,Alabama
Bears,Isaiah Irving,47,LB,74,254,24,2,San Jose State
Bears,DeAndre Houston-Carson,36,FS,73,205,25,3,William & Mary
Bears,Taylor Gabriel,18,WR,68,165,27,5,Abilene Christian
Bears,Chase Daniel,4,QB,72,225,31,10,Missouri
Bears,Tarik Cohen,29,RB,66,181,23,2,North Carolina A&T
Bears,Michael Burton,46,FB,72,240,26,4,Rutgers
